x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LOCAL_DATE_dt,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.2,2000-04-02 00:00:00,2000-04-02,NL,2000,4,2,3.7,-0.4,7.7,0.0,0.0,0.0,0.0,0.0,14.3
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.3,2000-04-03 00:00:00,2000-04-03,NL,2000,4,3,4.7,0.4,8.9,2.4,2.4,0.0,0.0,0.0,13.3
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.4,2000-04-04 00:00:00,2000-04-04,NL,2000,4,4,5.1,-0.8,10.9,0.4,0.4,0.0,0.0,0.0,12.9
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.5,2000-04-05 00:00:00,2000-04-05,NL,2000,4,5,8.4,0.6,16.1,9.4,9.4,0.0,0.0,0.0,9.6
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.6,2000-04-06 00:00:00,2000-04-06,NL,2000,4,6,5.2,0.4,9.9,2.0,2.0,0.0,0.0,0.0,12.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.7,2000-04-07 00:00:00,2000-04-07,NL,2000,4,7,4.4,-2.3,11.0,0.0,0.0,0.0,0.0,0.0,13.6
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.8,2000-04-08 00:00:00,2000-04-08,NL,2000,4,8,2.0,-2.2,6.1,0.0,0.0,0.0,0.0,0.0,16.0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.9,2000-04-09 00:00:00,2000-04-09,NL,2000,4,9,5.8,0.3,11.3,0.0,0.0,0.0,0.0,0.0,12.2
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.10,2000-04-10 00:00:00,2000-04-10,NL,2000,4,10,3.5,0.7,6.3,0.9,0.9,0.0,0.0,0.0,14.5
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.11,2000-04-11 00:00:00,2000-04-11,NL,2000,4,11,2.5,-0.1,5.1,12.9,12.9,0.0,0.0,0.0,15.5
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.12,2000-04-12 00:00:00,2000-04-12,NL,2000,4,12,-0.4,-3.0,2.3,0.0,0.0,0.0,0.0,0.0,18.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.13,2000-04-13 00:00:00,2000-04-13,NL,2000,4,13,2.4,-1.8,6.5,4.4,4.4,0.0,0.0,0.0,15.6
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.14,2000-04-14 00:00:00,2000-04-14,NL,2000,4,14,1.0,-2.5,4.5,0.0,0.0,0.0,0.0,0.0,17.0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.15,2000-04-15 00:00:00,2000-04-15,NL,2000,4,15,0.8,-2.5,4.1,1.7,1.1,0.6,0.0,0.0,17.2
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.16,2000-04-16 00:00:00,2000-04-16,NL,2000,4,16,1.7,-1.4,4.8,0.0,0.0,0.0,0.0,0.0,16.3
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.17,2000-04-17 00:00:00,2000-04-17,NL,2000,4,17,-2.7,-6.1,0.7,3.2,0.0,3.6,2.0,0.0,20.7
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.18,2000-04-18 00:00:00,2000-04-18,NL,2000,4,18,-0.9,-6.9,5.2,0.0,0.0,0.0,0.0,0.0,18.9
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.19,2000-04-19 00:00:00,2000-04-19,NL,2000,4,19,-0.4,-6.5,5.7,0.0,0.0,0.0,0.0,0.0,18.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.20,2000-04-20 00:00:00,2000-04-20,NL,2000,4,20,-2.3,-6.9,2.4,0.0,0.0,0.0,0.0,0.0,20.3
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.21,2000-04-21 00:00:00,2000-04-21,NL,2000,4,21,-0.9,-2.0,0.2,21.2,5.0,16.2,10.0,0.0,18.9
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.22,2000-04-22 00:00:00,2000-04-22,NL,2000,4,22,0.2,-2.2,2.6,0.0,0.0,0.0,9.0,0.0,17.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.23,2000-04-23 00:00:00,2000-04-23,NL,2000,4,23,0.8,-1.8,3.3,0.6,0.6,0.0,6.0,0.0,17.2
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.4.24,2000-04-24 00:00:00,2000-04-24,NL,2000,4,24,5.9,2.3,9.4,5.3,5.3,0.0,0.0,0.0,12.1
